Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,0.691248,2.219723334,39.77363102,0.001
ADSL,0.909344,3.942978838,25.44621858,0.0003
ADSL,0.550576,2.736424258,35.65597368,0.0054
ADSL,0.999672,5.707482322,21.57206657,0.0001
ADSL,0.859136,8.643733678,30.42267814,0.0007
ADSL,0.3452,0.683440615,23.95459524,0.0046
ADSL,0.679248,2.692895484,37.37305907,0.0004
ADSL,0.828504,3.1838752,30.06392308,0.002
ADSL,0.903904,8.532981935,30.32199725,0.0025
ADSL,1.059736,15.00656232,16.53836111,0.0008
ADSL,1.097744,15.60369703,20.04458881,0.001
ADSL,0.930096,6.496084266,42.86274955,0.0012
ADSL,0.932168,10.6253391,26.00231333,0.0064
ADSL,0.877256,13.33929419,26.51379561,0.0007
ADSL,0.883888,5.642686968,19.09303366,0.0001
ADSL,0.95352,10.6846031,20.46293931,0.0004
ADSL,0.6804,12.09770916,24.31355259,0.0011
ADSL,0.68152,3.95824671,32.90407622,0.0036
ADSL,0.536832,2.142920516,33.20583384,0.0007
ADSL,0.372272,1.917091613,32.15774697,0.0005
ADSL,0.635464,2.310099734,29.72749828,0.0004
ADSL,0.878952,13.84218064,23.07889091,0.0002
ADSL,0.96768,13.35101707,31.01353846,0.0063
ADSL,0.752032,3.836717162,30.67818889,0.0008
ADSL,0.92672,8.754608258,26.97599038,0.0001
ADSL,0.861696,13.4411287,37.28718372,0.0215
ADSL,0.668392,12.28453076,34.36821746,0.0101
ADSL,0.980008,12.44449167,16.95077798,0
ADSL,0.697368,16.11979948,27.51169918,0.0007
ADSL,1.06032,8.498067613,13.766259,0.0008
ADSL,0.877496,10.22029161,29.1990303,0.0035
ADSL,0.5004,1.859992258,46.52036264,0.0004
ADSL,0.344048,0.92168929,19.48281448,0.0001
ADSL,0.687,4.229893818,29.7379,0.0028
ADSL,0.365416,3.174078194,43.21031672,0.002
ADSL,0.63596,1.892781678,35.66493491,0.0013
ADSL,0.836304,13.24601171,32.58447432,0.0013
ADSL,0.646272,4.356556235,34.96867857,0.0015
ADSL,1.099984,19.99410991,11.604154,0.0008
ADSL,0.794312,4.094017548,32.92565145,0.0018
ADSL,0.749416,5.947812129,36.24451791,0.0008
ADSL,0.75456,16.97205574,27.13969143,0.0008
ADSL,0.865328,13.48110541,24.4611203,0.0031
ADSL,1.069056,19.5466049,15.58596401,0.0015
ADSL,1.012936,17.78638813,5.68887977,0.0002
ADSL,0.868424,6.666112516,30.27435294,0.0029
ADSL,0.3984,3.38485,40.68508178,0.0013
ADSL,0.732184,16.92903484,28.97420556,0.0027
ADSL,0.858304,8.3118952,14.44134438,0.0004
ADSL,1.023568,17.97680748,22.66330769,0.0001
ADSL,0.648568,2.400196645,20.9039062,0.001
ADSL,0.917448,18.77961653,8.36393529,0.0003
ADSL,0.76032,11.95959071,37.50869242,0.0012
