TestID;Number of Peers;With Super-Peers;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;5;true;9.70;2239815;2.15;9.12;22.70;true;6.16;0.10;1.31;5.54;0.84;2.72;7.00;2.50;4.04;5.05;2.46;3.57;2.52;1.57;2.08;3302
Test2;5;true;13.06;4293938;1.43;5.98;16.61;true;9.24;0.11;1.93;10.55;1.53;5.11;10.77;4.59;7.05;7.20;2.71;4.94;2.52;1.57;2.13;3302
Test3;5;true;24.80;8869498;1.07;2.84;6.35;true;12.25;0.12;2.55;21.72;2.89;10.40;21.85;9.24;12.95;5.78;1.63;4.31;2.52;1.57;2.13;3302
Test4;5;true;41.84;15890720;0.91;2.00;4.20;true;21.43;0.11;4.38;38.85;5.08;18.53;38.97;16.37;22.92;4.90;3.27;4.01;2.52;1.57;2.13;3302
Test5;5;true;80.80;32095088;0.81;1.34;2.54;true;36.64;0.11;7.42;78.39;10.10;37.29;78.51;32.77;44.72;6.09;1.83;3.94;2.52;1.77;2.19;3302
Test11;5;true;166.31;67108864;0.79;1.05;1.70;true;73.21;0.11;14.73;163.88;20.95;77.86;164.01;68.27;92.60;5.19;0.93;3.35;2.64;1.77;2.19;3302
Test12;5;true;329.99;134217728;0.77;0.86;1.15;true;138.25;0.10;27.74;327.69;41.67;155.56;327.82;136.25;183.30;5.59;3.00;3.88;2.64;1.77;2.19;3302
Test6;5;false;8.30;2239815;2.15;4.48;5.69;true;0.12;0.11;0.11;5.54;3.14;3.63;5.66;3.26;3.75;4.63;1.38;2.66;2.21;1.57;1.95;3302
Test7;5;false;13.41;4293938;1.51;2.76;3.31;true;0.12;0.12;0.12;10.56;5.93;6.86;10.68;6.05;6.98;6.14;0.95;2.80;2.38;1.57;2.05;3302
Test8;5;false;24.62;8869498;1.07;1.75;2.19;true;0.13;0.11;0.12;21.72;12.10;14.04;21.84;12.21;14.17;4.90;2.84;4.02;2.38;1.57;2.02;3302
Test9;5;false;41.65;15890720;1.10;1.25;1.32;true;0.14;0.11;0.12;38.92;21.59;25.06;39.04;21.71;25.19;4.91;1.96;3.56;2.21;1.57;2.05;3302
Test10;5;false;81.17;32095088;0.82;0.96;1.05;true;0.13;0.11;0.12;78.39;43.48;50.47;78.52;43.60;50.59;4.22;1.82;3.16;2.21;1.57;1.99;3302
Test13;5;false;166.09;67108864;0.75;0.82;0.85;true;0.12;0.10;0.11;163.81;90.79;105.40;163.94;90.90;105.52;7.84;5.08;5.84;2.21;1.88;2.05;3302
Test14;5;false;330.08;134217728;0.72;0.77;0.82;true;0.12;0.11;0.12;327.54;181.47;210.72;327.66;181.58;210.84;5.33;3.05;3.96;2.38;1.88;2.05;3302
Test15;10;true;16.75;2239815;1.36;5.55;12.26;true;6.26;0.11;3.16;6.96;1.47;3.24;13.17;3.37;6.41;5.84;1.51;2.84;2.65;0.94;1.89;2606
Test16;10;true;28.15;4293938;1.12;2.96;5.35;true;12.27;0.11;4.99;13.32;2.70;6.10;25.60;6.26;11.09;6.60;1.11;3.75;2.65;1.10;1.86;2606
Test17;10;true;46.67;8869498;0.85;1.80;2.96;true;18.37;0.11;8.05;27.46;5.51;12.48;42.80;12.69;20.54;8.84;1.37;4.21;2.65;1.00;1.93;2606
Test18;10;true;79.39;15890720;0.78;1.38;2.33;true;27.53;0.11;12.63;49.16;9.85;22.29;76.69;22.55;34.92;4.72;0.97;2.52;2.65;0.94;1.91;2606
Test19;10;true;151.76;32095088;0.77;1.24;3.29;true;49.32;0.11;24.56;99.29;19.82;44.95;148.21;45.35;69.52;4.92;1.60;2.99;2.65;1.13;2.00;2606
Test20;10;true;307.49;67108864;0.75;0.87;1.09;true;98.43;0.12;48.97;207.56;41.25;93.79;305.25;94.55;142.76;5.52;1.54;3.20;2.65;1.13;1.98;2606
Test21;10;true;610.35;134217728;0.72;0.78;0.91;true;194.90;0.11;96.61;414.99;82.33;187.44;607.16;188.86;284.06;8.90;1.39;4.33;2.65;1.10;2.02;2606
Test22;10;false;11.59;2239815;1.69;2.05;2.84;true;3.23;0.11;0.43;7.01;6.29;6.38;9.60;6.40;6.81;4.83;1.78;3.54;2.25;1.55;1.89;2606
Test23;10;false;16.72;4293938;1.22;1.41;1.76;true;0.14;0.11;0.12;13.34;12.01;12.16;13.47;12.12;12.29;4.78;0.90;3.18;2.25;1.90;1.96;2606
Test24;10;false;31.10;8869498;0.95;1.04;1.21;true;0.15;0.12;0.13;27.48;24.75;25.04;27.61;24.87;25.17;5.67;1.25;3.44;2.59;1.55;1.92;2606
Test25;10;false;52.47;15890720;0.84;0.90;0.99;true;0.15;0.11;0.13;49.19;44.28;44.79;49.32;44.40;44.93;6.08;1.75;3.43;2.25;1.55;1.85;2606
Test26;10;false;103.26;32095088;0.76;0.79;0.84;true;0.17;0.11;0.13;99.28;89.38;90.38;99.40;89.49;90.52;5.76;1.47;2.91;2.25;1.55;1.82;2606
Test27;10;false;211.31;67108864;0.73;0.74;0.76;true;0.14;0.11;0.12;207.52;186.80;188.90;207.65;186.92;189.03;5.31;1.45;3.06;2.25;1.55;1.92;2606
Test28;10;false;418.06;134217728;0.72;0.72;0.76;true;0.15;0.11;0.13;415.04;373.58;377.75;415.19;373.70;377.89;5.23;2.68;4.14;2.25;1.55;1.82;2606
Test29;20;true;21.13;2239815;1.10;2.72;8.16;true;12.23;0.09;4.81;9.24;1.77;5.35;18.46;4.67;10.17;9.54;1.00;3.87;2.16;0.99;1.58;1964
Test30;20;true;35.95;4293938;0.93;1.79;4.15;true;15.39;0.09;8.02;17.67;3.27;10.21;33.06;8.82;18.23;9.15;1.28;3.78;2.24;0.99;1.60;1964
Test31;20;true;63.63;8869498;0.80;1.21;2.56;true;24.55;0.10;13.82;36.43;6.66;21.01;60.98;18.09;34.83;9.51;1.59;3.72;2.24;0.99;1.60;1964
Test32;20;true;107.34;15890720;0.75;0.97;1.48;true;39.63;0.10;23.74;65.24;11.82;37.59;104.85;32.27;61.33;6.52;1.48;3.19;2.16;1.02;1.50;1964
Test33;20;true;204.61;32095088;0.73;0.83;1.08;true;70.56;0.11;44.77;131.71;23.78;75.86;201.81;65.03;120.64;10.26;0.84;3.85;2.16;0.99;1.49;1964
Test34;20;true;418.43;67108864;0.71;0.77;0.96;true;141.00;0.11;90.22;275.33;49.66;158.56;416.09;135.80;248.78;7.79;1.24;4.02;2.31;0.99;1.62;1964
Test35;20;true;831.35;134217728;0.70;0.77;1.18;true;277.29;0.10;178.93;550.74;99.54;317.10;827.89;271.43;496.03;8.38;1.15;4.08;2.24;1.02;1.67;1964
Test36;20;false;18.45;2239815;1.06;1.20;1.36;true;0.14;0.10;0.12;13.01;12.98;12.99;13.16;13.08;13.12;6.31;1.55;3.74;2.51;1.08;2.08;1395
Test37;20;false;30.45;4293938;0.92;0.96;1.05;true;0.15;0.10;0.12;24.88;24.85;24.86;25.04;24.95;24.99;7.13;1.90;4.24;3.23;1.79;2.26;1395
Test38;20;false;56.67;8869498;0.79;0.82;0.87;true;0.16;0.11;0.13;51.30;51.26;51.28;51.47;51.38;51.41;7.44;2.46;4.43;2.51;1.08;2.22;1395
Test39;20;false;97.35;15890720;0.75;0.76;0.79;true;0.16;0.10;0.13;91.85;91.81;91.83;92.01;91.91;91.96;6.68;2.01;4.18;2.51;1.79;2.19;1395
Test40;20;false;191.17;32095088;0.72;0.73;0.77;true;0.16;0.11;0.13;185.48;185.39;185.41;185.61;185.51;185.54;6.79;1.35;3.83;2.51;1.08;2.08;1395
Test41;20;false;393.23;67108864;0.71;0.71;0.75;true;0.15;0.11;0.12;387.74;387.59;387.61;387.89;387.70;387.74;6.22;1.95;3.92;2.51;1.79;2.15;1395
Test42;20;false;780.52;134217728;0.70;0.70;0.72;true;3.20;0.09;0.27;775.27;775.14;775.18;778.35;775.24;775.45;7.56;1.33;3.78;2.51;1.08;2.19;1395
Test43;35;true;119.41;2239815;0.78;1.04;1.37;true;21.46;0.11;7.14;115.76;12.07;28.55;115.92;12.19;35.69;21.60;1.94;6.64;3.96;0.93;1.82;156
